manual_geocode_id,CONTROL,TESTERID,HSITEAD,HSITETYP,HUNITNO,HCITY,HSTATE,HZIP,lat,long,blockgroup_geoid,block_geoid,distance_km,flag_class,manual_lat,manual_long,manual_source,manual_notes,review_complete,drop_row
TP-SA-4612-1 | TP009 | The Clearwater Model | Lithia | FL | 33547,TP-SA-4612-1,TP009,The Clearwater Model,,,Lithia,FL,33547,27.83611,-82.145644,1.2057E+11,1.2057E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
TP-SA-4612-1 | TP009 | the Miramar Model | Lithia | -1 | 33547,TP-SA-4612-1,TP009,the Miramar Model,,,Lithia,-1,33547,27.83611,-82.145644,1.2057E+11,1.2057E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
TP-SA-5301-1 | TP009 | Blueberry Ash Circle | Riverview | FL | 33578,TP-SA-5301-1,TP009,Blueberry Ash Circle,,,Riverview,FL,33578,27.8927233,-82.34973301,1.2057E+11,1.2057E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
TP-SA-5307-1 | TP068 | Lot 147 | Trinity | FL | 34655,TP-SA-5307-1,TP068,Lot 147,,,Trinity,FL,34655,28.1854979,-82.6772581,1.2101E+11,1.2101E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: possible reversed street order,,
TP-SB-0119-1 | TP017 | Belle Timbre Ave | Brandon | FL | ,TP-SB-0119-1,TP017,Belle Timbre Ave,,,Brandon,FL,,27.90160943,-82.27127194,1.2057E+11,1.2057E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
"TP-SB-1103-1 | TP083 | Lot 123/ Castleberry  ""AA "" | Spring Hill | FL | 34610",TP-SB-1103-1,TP083,"Lot 123/ Castleberry  ""AA """,,,Spring Hill,FL,34610,28.3900837,-82.540665,1.2101E+11,1.2101E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: possible reversed street order,,
TP-SB-1103-1 | TP083 | Model home/ Castleberry model | Spring Hill | FL | 34610,TP-SB-1103-1,TP083,Model home/ Castleberry model,,,Spring Hill,FL,34610,28.3900837,-82.540665,1.2101E+11,1.2101E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
TP-SB-1103-1 | TP083 | Model home/Brookland model | Spring Hill | FL | 34610,TP-SB-1103-1,TP083,Model home/Brookland model,,,Spring Hill,FL,34610,28.3900837,-82.540665,1.2101E+11,1.2101E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
TP-SB-1103-1 | TP083 | Model home/Chelsea model | Spring Hill | FL | 34610,TP-SB-1103-1,TP083,Model home/Chelsea model,,,Spring Hill,FL,34610,28.3900837,-82.540665,1.2101E+11,1.2101E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
TP-SB-3001-1 | TP043 | none | wesley chapel | FL | 33543,TP-SB-3001-1,TP043,none,,,wesley chapel,FL,33543,28.2052336,-82.2947236,1.2101E+11,1.2101E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: placeholder street address,,
