"STOTUNIT","APRACE","CONTROL","SEQUENCE.x","month","HCITY","ARELATE2","HHMTYPE","SAPPTAM","TSEX.x","THHEGAI","TPEGAI","THIGHEDU","TCURTENR","ALGNCUR","AELNG1","DPMTEXP","AMOVERS","age","ALEASETP","ACAROWN","w2012pc_Ad","b2012pc_Ad","a2012pc_Ad","hisp2012pc_Ad","logAdPrice","SAVLBAD","HZIP","HSITEAD","zip_Ad"
5,"1","AQ-SA-2606-1",1,1,"Albuquerque",2,1,2,0,"1","1","9",1,4,4,"1","7",42,"1","1",0.18015718191868,0,0,0.790643277627988,11.6526961029598,1,"87121","1268 Amole Vista St SW","""87121"""
1,"4","AQ-SA-2606-1",1,1,"Albuquerque",2,1,2,0,"3","2","7",2,5,5,"1","1",53,"2","1",0.18015718191868,0,0,0.790643277627988,11.6526961029598,1,"87121","1268 Amole Vista SW ST. SW","""87121"""
6,"4","AQ-SA-2606-1",2,1,"Albuquerque",2,1,2,0,"3","2","7",2,5,5,"1","1",53,"2","1",0.18015718191868,0,0,0.790643277627988,11.6526961029598,1,"87121","1268 Amole Vista SW ST. SW","""87121"""
3,"1","AQ-SA-2618-1",2,2,"Albuquerque",2,1,1,1,"3","3","4",1,3,3,"1","7",36,"1","1",0.744897959183674,0.0136054421768707,0,0.222789115646259,11.9183972397228,1,"87112","1717 Kirby ST NE","""87112"""
0,"1","AQ-SA-2618-1",1,1,"Albuquerque",2,1,1,1,"3","3","4",1,3,3,"1","7",36,"1","1",0.744897959183674,0.0136054421768707,0,0.222789115646259,11.9183972397228,6,"87112","1717 Kirby ST NE","""87112"""
3,"4","AQ-SA-2618-1",1,1,"Albuquerque",2,1,2,1,"7","3","4",1,5,5,"2","7",28,"2","1",0.744897959183674,0.0136054421768707,0,0.222789115646259,11.9183972397228,1,"87112","1717 Kirby St. NE","""87112"""
3,"1","AQ-SA-2901-1",1,2,"Corrales",2,1,2,0,"1","1","7",2,4,4,"3","2",48,"1","1",0.629565828295042,0,0,0.324062877871826,13.1480330734687,1,"87048","110 Uva Rd","""87048"""
0,"4","AQ-SA-2901-1",1,2,"Corrales",2,1,1,0,"3","2","7",2,10,10,"1","5",53,"2","1",0.629565828295042,0,0,0.324062877871826,13.1480330734687,6,"87048","110 Uva Rd","""87048"""
3,"4","AQ-SA-2901-1",2,2,"Corrales",2,1,1,0,"3","2","7",2,10,10,"1","5",53,"2","1",0.629565828295042,0,0,0.324062877871826,13.1480330734687,1,"87048","110 Uva Rd","""87048"""
5,"1","AQ-SA-2904-1",1,2,"rio rancho",1,1,2,1,"3","3","4",1,3,3,"1","5",36,"1","1",0.566699123661149,0.0477117818889971,0.0837390457643622,0.301850048685492,12.6603310924059,1,"87124","2515 corte toledo se","""87124"""
7,"4","AQ-SA-2904-1",1,NA,"Rio Rancho",2,1,1,1,"7","3","4",1,5,5,"2","7",28,"2","1",0.566699123661149,0.0477117818889971,0.0837390457643622,0.301850048685492,12.6603310924059,1,"87124","2515 Corte Toledo SE","""87124"""
1,"4","AQ-SA-2906-1",1,2,"Rio Rancho",3,1,2,0,"3","2","7",2,6,8,"3","1",53,"2","1",0.591192312928225,0.0337271436693446,0,0.347235684744784,12.1415394577117,1,"87144","3269 San Ildefonso Loop",NA
3,"1","AQ-SA-2908-1",1,2,"albuquerque",1,1,2,1,"3","3","4",1,3,4,"3","3",36,"1","1",0.192648634508291,0.00453446114336563,0,0.802816904348344,11.6860464930724,1,"87121","711 Avanti St SW","""87121"""
3,"4","AQ-SA-2908-1",1,2,"Albuquerque",1,1,1,1,"2","2","11",1,5,5,"1","1",33,"2","1",0.192648634508291,0.00453446114336563,0,0.802816904348344,11.6860464930724,1,"87106","711 Avanti St SW","""87121"""
3,"4","AQ-SA-2912-1",1,2,"Albuquerque",1,-1,2,0,"3","2","7",2,10,8,"1","1",53,"2","1",0.800865800865801,0,0,0.127705627705628,12.3758196395176,1,"87106","623 Bryn Mawr Dr NE","""87106"""
3,"4","AQ-SA-3101-1",1,2,"Rio Rancho",2,1,2,0,"3","2","7",2,10,8,"1","2",53,"2","1",0.7682570593963,0.0321324245374878,0,0.199610516066212,12.6915835382302,1,"87124","4906 El Picador Ct. SE","""87124"""
2,"1","AQ-SA-3103-1",1,3,"Tijeras",2,1,1,1,"3","3","4",1,3,4,"1","7",36,"1","1",0.689721421709894,0,0.0576368876080692,0.230547550432277,12.6098730354302,1,"87059","22 Escena DR","""87059"""
1,"4","AQ-SA-3103-1",1,2,"Tijeras",2,1,2,1,"2","2","11",1,5,5,"1","2",33,"2","1",0.689721421709894,0,0.0576368876080692,0.230547550432277,12.6098730354302,1,"87059","22 Escena Dr","""87059"""
2,"1","AQ-SA-3111-1",1,3,"Albuquerque",2,1,2,1,"1","1","9",1,2,2,"2","1",24,"1","1",0.69900748212046,0,0.0267942579629587,0.243062197235411,12.3238601256211,1,"87114","5516 Mansfield Place NW","""87114"""
4,"1","AQ-SA-3201-1",1,3,"Albuquerque",2,1,1,1,"1","1","9",1,3,2,"2","7",24,"1","1",0.0535714285714286,0.160714285714286,0,0.785714285714286,12.0076278043487,6,"87121","9104 Valle Vidal Pl SW","""87121"""
1,"4","AQ-SA-3202-1",1,3,"Los Lunas",2,1,2,1,"2","2","11",1,5,5,"1","7",33,"2","1",0.451888907487403,0.027375200463903,0.00622624570623061,0.486312384711688,11.8486903085909,1,"87031","69 Juniper Ave","""87031"""
4,"1","AQ-SA-3202-1",1,3,"Los Lunas",2,1,2,1,"4","4","4",1,2,3,"2","7",27,"1","1",0.451888907487403,0.027375200463903,0.00622624570623061,0.486312384711688,11.8422364063316,1,"87031","69 Juniper Ave","""87031"""
3,"4","AQ-SA-3311-1",1,3,"Albuquerque",1,1,2,0,"3","2","7",2,5,5,"1","7",53,"2","1",0.228647232555748,0.0107033639209195,0,0.758409786396581,11.8069076499705,1,"","10620 Cenote Rd. SW","""87121"""
3,"4","AQ-SA-3404-1",1,3,"Albuquerque",1,1,2,1,"2","2","11",1,5,5,"1","2",33,"2","1",0.456163119392377,0.0127330604762469,0.045929968146462,0.457025920665291,12.0137068134704,1,"87113","1315 EL Segundo Ave Ne","""87113"""
2,"4","AQ-SA-3408-1",1,3,"Rio Rancho",1,1,2,1,"2","2","11",1,5,5,"1","2",33,"2","1",0.616666666666667,0,0.0208333333333333,0.3625,11.8628849103397,1,"87124","1817 Regency Park Rd Se","""87124"""
5,"1","AQ-SA-3408-1",1,3,"Rio Rancho",1,1,2,1,"1","1","9",1,3,2,"2","1",24,"1","1",0.616666666666667,0,0.0208333333333333,0.3625,11.8628849103397,1,"87124","1817 Regency Park Rd SE","""87124"""
1,"4","AQ-SA-3501-1",1,3,"Albuquerque",2,1,2,1,"2","2","11",1,5,5,"1","1",33,"2","1",0.665562913907285,0.0612582781456954,0.0695364238410596,0.19205298013245,12.3013873707787,1,"87109","7924 Woodridge Dr NE","""87109"""
3,"1","AQ-SA-3518-1",1,4,"Rio Rancho",1,1,2,1,"4","4","4",1,3,3,"1","1",27,"1","1",0.699331848552339,0,0,0.247216035634744,11.8048559999113,1,"87124","488 Stallon Rd SE","""87124"""
8,"4","AQ-SA-3611-1",2,NA,"Albuquerque",1,3,1,1,"7","3","4",1,3,3,"2","2",28,"2","1",0.597826086956522,0.0260869565217391,0.0608695652173913,0.191304347826087,12.1807599657379,1,"87102","400 Central Ave SE",NA
0,"4","AQ-SA-3611-1",1,NA,"Albuquerque",1,3,2,1,"7","3","4",1,3,3,"2","2",28,"2","1",0.597826086956522,0.0260869565217391,0.0608695652173913,0.191304347826087,12.1807599657379,6,"87102","400 Central Ave SE",NA
