Table,,Mothers,Column,Original,Updated,Outside Range,update more discrim,Variance Original,Variance updated,Variance decrease,Original Significance,Updated Significance,Maintain or Improve Significance,,
10B,Asian,1,4,-0.0163,-0.0262,0,0,0.0164,0.013,1,0,2,1,1,0
10B,Overall,1,5,-0.095,-0.0853,0,0,0.0242,0.0229,1,3,3,1,1,0
10B,African,1,5,-0.1659,-0.1246,0,0,0.0329,0.0326,1,3,3,1,1,0
10B,Hispanic,1,5,-0.1021,-0.0959,0,0,0.0323,0.0281,1,3,3,1,1,0
10B,Asian,1,5,-0.0389,-0.035,0,0,0.0313,0.0312,1,0,0,0,0,0
11,African,0,1,-0.1179,-0.0636,0,0,0.0464,0.0406,1,2,0,0,0,1
11,Hispanic,0,1,-0.1585,-0.1525,0,0,0.0425,0.0374,1,3,3,1,0,0
11,Asian,0,1,-0.0437,-0.0199,0,0,0.0445,0.0428,1,0,0,0,0,0
11,African,0,2,-0.173,-0.1005,0,0,0.0579,0.0504,1,3,2,0,0,1
11,Hispanic,0,2,-0.1986,-0.2001,0,1,0.0534,0.0504,1,3,3,1,0,0
11,Asian,0,2,-0.077,-0.0125,0,0,0.0603,0.051,1,0,0,0,0,0
11,African,1,3,-0.4318,-0.0535,1,0,0.1268,0.0731,1,3,0,0,0,1
11,Hispanic,1,3,-0.4283,-0.2619,1,0,0.1114,0.074,1,3,3,1,1,0
11,Asian,1,3,-0.3101,-0.0058,1,0,0.1282,0.0748,1,2,0,0,0,1
11,African,0,4,-0.1175,-0.0641,0,0,0.0478,0.0413,1,2,0,0,0,1
11,Hispanic,0,4,-0.1543,-0.1454,0,0,0.0429,0.0378,1,3,3,1,0,0
11,Asian,0,4,-0.0419,-0.0201,0,0,0.0445,0.0429,1,0,0,0,0,0
11,African,0,5,-0.1705,-0.0998,0,0,0.0588,0.0506,1,3,2,0,0,1
11,Hispanic,0,5,-0.1657,-0.1808,0,1,0.0518,0.0482,1,3,3,1,0,0
11,Asian,0,5,-0.0757,-0.0171,0,0,0.061,0.0513,1,0,0,0,0,0
11,African,1,6,-0.3958,-0.064,1,0,0.1296,0.0724,1,3,0,0,0,1
11,Hispanic,1,6,-0.3358,-0.2543,0,0,0.1308,0.0747,1,2,3,1,1,0
11,Asian,1,6,-0.2618,-0.0226,1,0,0.1275,0.1013,1,2,0,0,0,1
12,African,0,1,-0.0729,-0.0337,0,0,0.0335,0.0293,1,2,0,0,0,1
12,Hispanic,0,1,-0.0478,-0.0415,0,0,0.031,0.0274,1,0,0,0,0,0
12,Asian,0,1,-0.0126,0.014,0,0,0.0271,0.0275,0,0,0,0,0,0
12,African,0,2,-0.1085,-0.0931,0,0,0.0401,0.0356,1,3,3,1,0,0
12,Hispanic,0,2,-0.0388,-0.0733,0,1,0.0376,0.0318,1,0,2,1,0,0
12,Asian,0,2,-0.0511,0.0017,0,0,0.0367,0.0348,1,0,0,0,0,0
12,African,1,3,-0.2485,-0.184,0,0,0.0738,0.0598,1,3,3,1,1,0
12,Hispanic,1,3,-0.0782,-0.1467,0,1,0.0567,0.0467,1,0,3,1,1,0
12,Asian,1,3,-0.0773,-0.0116,0,0,0.0583,0.049,1,0,0,0,0,0
13A,Overall,0,1,-0.0618,-0.067,0,1,0.0131,0.0235,0,3,3,1,0,0
13A,African,0,1,-0.081,-0.0725,0,0,0.0177,0.0329,0,3,2,0,0,1
13A,Hispanic,0,1,-0.0701,-0.0778,0,1,0.0204,0.039,0,3,2,0,0,1
13A,Asian,0,1,-0.0557,-0.0519,0,0,0.0183,0.0359,0,3,0,0,0,1
13A,Overall,0,2,-0.0326,-0.0186,0,0,0.0092,0.0193,0,3,0,0,0,1
13A,African,0,2,-0.021,-0.0087,0,0,0.0122,0.0234,0,1,0,0,0,1
13A,Hispanic,0,2,-0.0124,0.0006,0,0,0.0138,0.03,0,0,0,0,0,0
13A,Asian,0,2,-0.051,-0.0461,0,0,0.0128,0.0252,0,3,1,0,0,1
13A,Overall,0,3,9.2013,14.7436,0,1,4.3081,10.6343,0,2,0,0,0,1
13A,African,0,3,3.9675,5.7174,0,1,5.7978,11.8416,0,0,0,0,0,0
13A,Hispanic,0,3,12.9738,25.0033,0,1,6.3158,15.0902,0,2,1,0,0,1
13A,Asian,0,3,17.3702,16.846,0,0,5.9039,14.3716,0,3,0,0,0,1
13A,Overall,0,4,-0.2583,-0.2382,0,0,0.0618,0.117,0,3,2,0,0,1
13A,African,0,4,-0.592,-0.5171,0,0,0.0821,0.1409,0,3,3,1,0,0
13A,Hispanic,0,4,-0.2014,-0.0744,0,0,0.0922,0.168,0,2,0,0,0,1
13A,Asian,0,4,-0.0299,-0.0739,0,1,0.0826,0.1474,0,0,0,0,0,0
13B,Overall,0,1,0.0012,-0.0032,0,0,0.0022,0.0045,0,0,0,0,0,0
